NOMBRE_DPT,latitud,longitud,dpto
Bogota,4.31237,-74.1817,Bogo
Bolivar,8.74375,-74.5064,Cartagena D.T. y C.
Bolivar,8.74375,-74.5064,Bol
Boyaca,5.77802,-73.1002,Boyac
Caldas,5.34241,-75.3057,Caldas
Caqueta,0.800204,-73.9628,Caquet
Cauca,2.39676,-76.8336,Cauca
Cesar,9.53741,-73.5178,Cesar
Cordoba,8.35833,-75.7948,rdoba
Cundinamarca,4.82387,-74.0978,Cundinamarca
Choco,5.93883,-76.9383,Choc
Huila,2.56598,-75.5979,Huila
La Guajira,11.476,-72.4299,La Guajira
Magdalena,10.2489,-74.2607,Santa Marta D.T. y C.
Magdalena,10.2489,-74.2607,Magdalena
Meta,3.34766,-72.9552,Meta
Narino,1.56952,-77.8716,Nari
Norte de Santander,8.0953,-72.8805,Norte de Santander
Quindio,4.45446,-75.6897,Quindio
Risaralda,5.08407,-75.8422,Risaralda
Santander,6.69509,-73.4862,Santander
Sucre,9.06299,-75.1115,Sucre
Tolima,4.03466,-75.2558,Tolima
Valle del Cauca,3.85854,-76.518,Valle del Cauca
Valle del Cauca,3.85854,-76.518,Buenaventura D.E.
Arauca,6.56991,-70.9688,Arauca
Casanare,5.40368,-71.6015,Casanare
Putumayo,0.458445,-75.8641,Putumayo
San Andres y Providencia,12.9119,-81.5654,Archipi
Amazonas,-1.54254,-71.4989,Amazonas
Guainia,2.7263,-68.8128,Guai
Guaviare,1.92465,-72.1273,Guav
Vupes,0.645783,-70.5602,Vau
Vichada,4.71385,-69.4143,Vichada
Antioquia,6.92599,-75.571,Antioquia
Atlantico,10.676,-74.9649,Atl
Atlantico,10.676,-74.9649,Barranquilla D.E.
