Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2524.0,2357.0,104.0,63.0
Antioquia,43370.0,15721.0,712.0,26937.0
Arauca,251.0,157.0,5.0,89.0
Atlantico,55663.0,42109.0,2620.0,10934.0
Bogota,117793.0,56602.0,3261.0,57930.0
Bolivar,19548.0,14708.0,607.0,4233.0
Boyaca,1305.0,575.0,30.0,700.0
Caldas,1111.0,386.0,15.0,710.0
Caqueta,1839.0,394.0,43.0,1402.0
Casanare,389.0,154.0,6.0,229.0
Cauca,2328.0,1055.0,78.0,1195.0
Cesar,3835.0,1814.0,82.0,1939.0
Choco,3103.0,2399.0,108.0,596.0
Cordoba,7774.0,2621.0,773.0,4380.0
Cundinamarca,10641.0,5560.0,287.0,4794.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,122.0,59.0,0.0,63.0
Huila,1206.0,530.0,27.0,649.0
La Guajira,2434.0,1424.0,139.0,871.0
Magdalena,7549.0,4048.0,395.0,3106.0
Meta,3175.0,1989.0,44.0,1142.0
Narino,8776.0,5226.0,290.0,3260.0
Norte de Santander,3299.0,1035.0,166.0,2098.0
Putumayo,1259.0,291.0,53.0,915.0
Quindio,447.0,213.0,9.0,225.0
Risaralda,2212.0,891.0,42.0,1279.0
San Andres y Providencia,45.0,32.0,0.0,13.0
Santander,5087.0,1765.0,163.0,3159.0
Sucre,6735.0,3866.0,387.0,2482.0
Tolima,3203.0,1736.0,70.0,1397.0
Valle del Cauca,28611.0,16527.0,1106.0,10978.0
Vaupes,61.0,59.0,1.0,1.0
Vichada,5.0,1.0,0.0,4.0
