Departamento,Condicion,confirmado,recuperados,defunciones
Bogota,Recuperado,4305,1163,149
Valle del Cauca,Recuperado,1367,397,80
Antioquia,Recuperado,474,286,6
Bolivar,Recuperado,742,149,50
Huila,Recuperado,179,56,8
Meta,Recuperado,927,38,6
Risaralda,Recuperado,216,120,8
Santander,Recuperado,141,59,13
Caldas,Recuperado,100,38,4
Cundinamarca,Recuperado,289,146,13
Atlantico,Recuperado,1022,84,41
Quindio,Recuperado,71,47,2
Tolima,Recuperado,130,24,6
Cauca,Recuperado,51,19,4
Magdalena,Recuperado,284,73,24
Cesar,Recuperado,72,36,11
San Andres y Providencia,Recuperado,6,4,0
Casanare,Recuperado,21,8,0
Narino,Fallecido,306,33,15
Boyaca,Recuperado,77,19,3
Cordoba,Recuperado,39,11,3
Sucre,Recuperado,4,1,0
La Guajira,Recuperado,27,3,3
Choco,Casa,28,3,3
Amazonas,Casa,718,8,26
Caqueta,Fallecido,16,0,1
Putumayo,Hospital,1,0,0
