Departamento,confirmado,recuperados,defunciones
Amazonas,1183.0,35.0,40.0
Antioquia,543.0,330.0,6.0
Arauca,1.0,0.0,0.0
Atlantico,1827.0,129.0,51.0
Bogota,5720.0,1499.0,175.0
Bolivar,1492.0,203.0,73.0
Boyaca,108.0,36.0,5.0
Caldas,120.0,66.0,5.0
Caqueta,21.0,2.0,1.0
Casanare,25.0,10.0,0.0
Cauca,64.0,26.0,4.0
Cesar,77.0,53.0,11.0
Choco,43.0,8.0,3.0
Cordoba,78.0,14.0,4.0
Cundinamarca,368.0,180.0,12.0
Huila,212.0,75.0,8.0
La Guajira,47.0,6.0,3.0
Magdalena,435.0,111.0,28.0
Meta,951.0,60.0,8.0
Narino,499.0,63.0,26.0
Putumayo,3.0,0.0,0.0
Quindío,81.0,60.0,2.0
Risaralda,238.0,171.0,8.0
San Andres y Providencia,21.0,5.0,0.0
Santander,164.0,102.0,14.0
Sucre,4.0,1.0,0.0
Tolima,164.0,68.0,7.0
Valle del Cauca,1795.0,590.0,98.0
Vaupes,11.0,0.0,0.0
