Departamento,confirmado,latitud,longitud
Sucre,1.0,9.06299,-75.1115
San Andres y Providencia,6.0,12.9119,-81.5654
La Guajira,2.0,11.475999999999999,-72.4299
Caqueta,2.0,0.800204,-73.9628
Casanare,10.0,5.4036800000000005,-71.6015
Caldas,50.0,5.34241,-75.3057
Boyaca,33.0,5.77802,-73.1002
Cesar,35.0,9.537410000000001,-73.5178
Quindio,55.0,4.45446,-75.6897
Narino,62.0,1.56952,-77.8716
Huila,81.0,2.5659799999999997,-75.5979
Cordoba,21.0,8.35833,-75.7948
Norte de Santander,60.0,8.0953,-72.8805
Santander,37.0,6.6950899999999995,-73.4862
Cundinamarca,182.0,4.823869999999999,-74.0978
Bolivar,204.0,8.74375,-74.5064
Risaralda,145.0,5.08407,-75.8422
Atlantico,125.0,10.675999999999998,-74.9649
Cauca,25.0,2.39676,-76.8336
Tolima,41.0,4.03466,-75.2558
Choco,10.0,5.93883,-76.9383
Amazonas,12.0,-1.54254,-71.4989
Meta,136.0,3.34766,-72.9552
Bogota,1883.0,4.31237,-74.1817
Valle del Cauca,775.0,3.85854,-76.518
Antioquia,426.0,6.92599,-75.571
Magdalena,142.0,10.2489,-74.2607
