id_estado,confirmado,defunciones,estado
27,1758.0,234.0,Tabasco
25,1516.0,215.0,Sinaloa
2,2448.0,418.0,Baja California
15,6155.0,506.0,Mexico
9,9983.0,666.0,Ciudad de Mexico
14,636.0,57.0,Jalisco
16,577.0,65.0,Michoacan
5,572.0,53.0,Coahuila
23,1118.0,193.0,Quintana Roo
21,1120.0,150.0,Puebla
18,238.0,21.0,Nayarit
17,820.0,101.0,Morelos
19,664.0,32.0,Nuevo Leon
30,1352.0,135.0,Veracruz
31,848.0,50.0,Yucatan
12,582.0,75.0,Guerrero
28,756.0,44.0,Tamaulipas
26,541.0,33.0,Sonora
3,398.0,22.0,Baja California Sur
32,157.0,19.0,Zacatecas
8,693.0,141.0,Chihuahua
22,252.0,21.0,Queretaro
13,574.0,81.0,Hidalgo
10,117.0,12.0,Durango
6,45.0,6.0,Colima
24,278.0,14.0,San Luis Potosi
29,386.0,56.0,Tlaxcala
11,505.0,45.0,Guanajuato
7,419.0,20.0,Chiapas
1,352.0,13.0,Aguascalientes
20,258.0,47.0,Oaxaca
4,209.0,28.0,Campeche
