estado,confirmado,poblacion
Aguascalientes,80,1434635
Baja California,915,3634868
Baja California Sur,228,804708
Campeche,67,1000617
Coahuila,266,3218720
Colima,14,785153
Chiapas,75,5730367
Chihuahua,155,3801487
Ciudad de Mexico,2857,9018645
Durango,30,1868996
Guanajuato,158,6228175
Guerrero,126,3657048
Hidalgo,106,3086414
Jalisco,226,8409693
Mexico,1013,17427790
Michoacan,139,4825401
Morelos,89,2044058
Nayarit,41,1288571
Nuevo Leon,203,5610153
Oaxaca,72,4143593
Puebla,382,6604451
Queretaro,88,2279637
Quintana Roo,393,1723259
San Luis Potosi,67,2866142
Sinaloa,510,3156674
Sonora,114,3074745
Tabasco,467,2572287
Tamaulipas,145,3650602
Tlaxcala,84,1380011
Veracruz,165,8539862
Yucatan,194,2259098
Zacatecas,32,1666426
