id_estado,confirmado,estado
1,253.0,Aguascalientes
2,1582.0,Baja California
21,755.0,Puebla
6,29.0,Colima
9,6013.0,Ciudad de Mexico
15,3615.0,Mexico
26,249.0,Sonora
20,163.0,Oaxaca
29,229.0,Tlaxcala
3,330.0,Baja California Sur
31,533.0,Yucatan
5,440.0,Coahuila
7,216.0,Chiapas
32,94.0,Zacatecas
10,73.0,Durango
24,131.0,San Luis Potosi
17,417.0,Morelos
11,290.0,Guanajuato
8,452.0,Chihuahua
18,106.0,Nayarit
16,366.0,Michoacan
23,889.0,Quintana Roo
22,151.0,Queretaro
25,1076.0,Sinaloa
14,387.0,Jalisco
13,306.0,Hidalgo
30,672.0,Veracruz
12,317.0,Guerrero
19,406.0,Nuevo Leon
28,362.0,Tamaulipas
27,1077.0,Tabasco
4,109.0,Campeche
